doi,title,source,nnaa_track,pmid,journal,pub_date,abstract,nnaa_compound,ai_article_type,ai_pass,ai_rationale_zh,ai_nnaa_category,ai_synthesis_method,ai_has_pathway_or_synthesis,ai_compound,fetched_at,publication_types,ai_domain_relevant,ai_has_experiment,lit_type_zh
10.1186/s12934-026-03057-z,Genomically integrated orthogonal translation system in Escherichia coli enables production of functional modified [NiFe]-hydrogenases.,pubmed,gce,42410413,Microbial cell factories,2026-Jul-06,"The functional diversification of O2-tolerant [NiFe]-hydrogenases using orthogonal translation systems (OTSs) offers a promising strategy for developing advanced biocatalysts and biohybrid energy platforms. However, plasmid-based OTSs frequently impose metabolic burdens and suffer from plasmid instability during fermentation, particularly when co-produced with complex metalloenzymes. To overcome these bioprocess limitations, we employed CRISPR/Cas9-mediated genome editing to integrate a psychrophilic pyrrolysyl-tRNA synthetase/tRNA pair into the Escherichia coli BL21 genome. The resulting strain provided a plasmid-free orthogonal translation background that supported amber suppression-mediated expression of the regulatory [NiFe]-hydrogenase (RH) of Cupriavidus necator. Using this genomically integrated OTS, we achieved the production of a full-length, catalytically active RH variant. Our results demonstrate that chromosomal OTS is compatible with the efficient production and maturation of complex metalloenzymes. The present work lays the groundwork for the bio-orthogonal engineering of hydrogenases and related hybrid biocatalysts.",,research_article,true,构建基因组整合的正交翻译系统，利用pyrrolysyl-tRNA synthetase/tRNA对实现amber抑制，生产含非天然氨基酸的功能性氢化酶，明确属于GCE范畴并包含ncAA整合工艺。,gce,fermentation,yes,pyrrolysine,2026-07-23 18:45:34,Journal Article,true,yes,研究论文
10.1016/j.biotechadv.2026.108961,Codon compression and novel codon creation for multiplex non-canonical amino acid incorporation.,pubmed,gce,42342169,Biotechnology advances,2026-Oct,"Genetic code expansion (GCE) provides a robust platform for engineering protein function via the site-specific incorporation of noncanonical amino acids (ncAAs). While traditional methods are primarily limited to single site incorporation, the growing demand for complex functional modifications in protein engineering has established the simultaneous incorporation of distinct ncAAs as a critical frontier in synthetic biology. This review systematically classifies strategies for such multiplex ncAA incorporation into two principal frameworks. The first framework involves natural codon compression, which exploits the degeneracy of the genetic code to liberate nonsense or rare sense codons via genome-wide recoding. The second framework centers on novel codon creation to expand the coding space, encompassing approaches such as quadruplet codons, unnatural base pairs, and modified mRNA codons. We evaluate these methodologies based on host fitness, coding capacity, and incorporation efficiency to delineate the multifaceted constraints restricting complex genetic encoding. Finally, we propose an integrated future pipeline combining partial codon compression, adaptive laboratory evolution, and artificial intelligence-assisted design to overcome current barriers in multiplex genetic encoding.",,review,true,系统综述多重非天然氨基酸整合策略，涵盖密码子压缩与新型密码子创建，明确讨论ncAA整合平台，属于GCE核心内容，且综述合成/编码方法学。,gce,multiple,yes,,2026-07-23 18:45:34,Journal Article; Review,true,no,综述
10.1021/acs.oprd.5c00488,Scalable Flow Synthesis of Genetically Encodable Tetrazine Amino Acids.,pubmed,gce,42306176,Organic process research & development,2026-Apr-17,"The tetrazine-cyclooctene ligation is among the fastest bioorthogonal reactions known, enabling rapid and selective bioconjugation. Site-specific incorporation of tetrazine-bearing noncanonical amino acids (Tet-ncAAs) into proteins via genetic code expansion has expanded the toolkit for applications in chemical biology, therapeutic conjugation, and live-cell imaging. However, existing synthetic routes to Tet-ncAAs rely on small-scale batch reactions that rely on hazardous reagents and are poorly suited for scale-up. Here, we report both a hybrid batch-flow and continuous flow synthetic approaches for Tet-ncAAs that improve process safety, scalability, and reproducibility. The use of aqueous hydrazine in place of anhydrous hydrazine, 3-mercaptopropionic acid as an organic catalyst in place of metal salts, and a compatible solvent system enables the synthesis under safer, milder, and environmentally-friendly conditions. Optimization of the temperature for the reaction revealed a two-step process involving rapid hydrazine addition followed by cyclization at a lower temperature. This modular process supports multigram-scale synthesis of diverse Tet-ncAAs from commercial precursors and integrates a fully continuous oxidation protocol to access the final tetrazine products. The resulting platform offers a safer, scalable, and sustainable route to Tet-ncAAs that supports the growing demand in antibody-drug conjugates, radioimmunoconjugates, antibody-oligonucleotide and protein-protein conjugates as well as protein labeling and targeted delivery applications.",,research_article,true,报道了四嗪类非天然氨基酸的可放大流动合成方法，包括反应条件优化、催化剂替换和连续氧化工艺，明确提供了化学合成路线。,chemical,chemical,yes,tetrazine amino acids,2026-07-23 18:45:34,Journal Article,true,yes,研究论文
10.1002/wnan.70066,Advances in Engineered Virus-Like Particles for Applications in Nanomedicine.,pubmed,gce,42212656,Wiley interdisciplinary reviews. Nanomedicine and nanobiotechnology,2026,"Precision drug delivery requires carrier systems that combine safety, structural stability, and targeting capability. As self-assembling protein nanocages that lack viral genetic material, virus-like particles (VLPs) offer favorable biocompatibility together with highly programmable architectures. In this review, we summarize the self-assembly mechanisms of VLPs and discuss major functionalization strategies, including bioorthogonal chemistry, non-canonical amino acid incorporation, and biomimetic mineralization. We further examine how these engineering approaches influence VLP performance in cancer immunotherapy, targeted drug delivery, and molecular imaging. Finally, we discuss key barriers to clinical translation, including scalable manufacturing, batch consistency, and pre-existing immunity. We also outline future directions for the development of engineered VLP platforms in nanomedicine.",,review,true,综述类文章，系统讨论了包括非天然氨基酸整合在内的VLP功能化策略，涵盖合成生物学方法，对数据库构建有参考价值。,gce,unclear,unclear,,2026-07-23 18:45:34,Journal Article; Review,true,no,综述
10.1038/s41467-026-73618-8,Combined biosynthesis and site-specific incorporation of phenylalanine derivatives from aryl aldehydes or carboxylic acids.,pubmed,gce,42177189,Nature communications,2026-May-23,"Applications of genetic code expansion (GCE) in live cells are widespread and continually emerging, yet they have been limited by their reliance on the supplementation of non-standard amino acids (nsAAs) to cell culturing media. Here, we report the design of a single engineered bacterial host that performs the steps of phenylalanine derivative semi-synthesis and site-specific incorporation within target proteins. Our platform pathway exhibits broad substrate specificity towards commercially ubiquitous, achiral building blocks of aryl aldehydes or carboxylic acids, producing the family of nsAAs that are most frequently used for GCE. We demonstrate biosynthesis of 12 distinct nsAAs, and we observe combined biosynthesis and incorporation for these chemistries using common orthogonal translation systems (OTSs) based on a fluorescent reporter assay. We additionally show that the combination of nsAA biosynthesis and GCE steps can extend the chemical reach of the intrinsic biological containment strategy of synthetic auxotrophy from reliance on nsAAs to instead reliance on low-cost and achiral building blocks. Our platform should aid industrial-scale manufacturing of proteins that contain nsAAs and democratize access to expensive or commercially unavailable chemistries for labs that lack separations or traditional synthesis expertise.",,research_article,true,报道了从芳香醛或羧酸出发，在工程菌中实现苯丙氨酸衍生物类nsAAs的生物合成与定点整合，包含完整的代谢通路设计和底物范围验证。,fermentation,fermentation,yes,"phenylalanine derivatives,nsAAs",2026-07-23 18:45:34,Journal Article,true,yes,研究论文
10.1021/acs.accounts.6c00037,Chemical Editing of Proteins: From a Specific Residue to Functional Domains.,pubmed,gce,41973472,Accounts of chemical research,2026-May-05,"The remarkable complexity of life is supported by proteins, yet their functional diversity is constrained by the limited chemical alphabet of 20 canonical amino acids. Although nature partially overcomes this restriction through nongenetically encoded processes such as post-translational modifications or cofactors, these mechanisms are often difficult to predict, control and engineer. This limitation raises a fundamental question: can we programmably ""chemically edit"" proteins to generate new functions on demand? To address this challenge, our laboratory has been dedicated to advancing a ""protein chemical editing"" toolkit by integrating synthetic chemistry with protein engineering. This framework enables precise manipulation of proteins from individual residues to entire functional domains. We pursue two complementary strategies: genetic code expansion, which introduces unnatural amino acids (UAAs) as new chemical building blocks, and directed evolution platforms, which generate programmable protein-editing enzymes capable of rewriting protein sequences. In this Account, we outline a multiscale approach for protein chemical editing, spanning atomic-level control of active sites with photocaged amino acids, refinement of catalytic pockets using noncanonical residues, covalent stabilization of protein-protein interfaces through designer electrophile warheads, and domain-level editing enabled by evolved proteases. Prospectively, through the synergistic integration of chemical design, genetic encoding, and directed evolution, protein chemical editing unlocks a new level of control over biological function. This paradigm, which merges the precision of synthetic chemistry with the complexity of living systems, fundamentally transforms our capabilities from merely observing life to actively programming it, with profound implications for biomedicine and biotechnology.",,review,true,综述蛋白质化学编辑策略，明确包含遗传密码扩展引入非天然氨基酸（UAAs）作为新化学构件，涵盖UAA在活性位点、界面等的应用，对ncAA整合方法有综述价值。,gce,unclear,unclear,unnatural amino acids,2026-07-23 18:45:34,Journal Article,true,no,综述
10.1016/j.tibtech.2026.01.013,Recombinant collagen in the era of cellular agriculture.,pubmed,gce,41807151,Trends in biotechnology,2026-Mar-09,"Collagen is a foundational protein in both native tissues and engineered biomaterials. As cellular agriculture redefines protein production, recombinant collagen (RCOL) is emerging as a viable alternative to animal-derived collagen. RCOL offers molecular control, species-independent scalability, and integration into engineered cell systems. In this context, RCOL supports a closed-loop system: it is both a product of and an enabler for cellular agriculture, powering applications from cultivated meat to regenerative medicine. However, its performance is constrained by post-translational modifications (PTMs), including hydroxylation, glycosylation, and crosslinking, which govern triple-helix stability, fibrillogenesis, and bioactivity. This review discusses emerging strategies (enzyme coexpression, cotranslational incorporation, genetic modification, genetic code expansion, and photo-crosslinking) to bridge the PTM gap and advance RCOL platforms for cellular agriculture.",,review,true,综述重组胶原蛋白的PTM策略，明确提及遗传密码扩展作为引入羟脯氨酸等非天然氨基酸的方法，对合成路径有间接参考价值。,gce,unclear,unclear,hydroxyproline,2026-07-23 18:45:34,Journal Article; Review,true,no,综述
10.1126/sciadv.aeb5106,Covalent capture and genetic code expansion enables chemoproteomic profiling and functional characterization of lysine acetoacetylation.,pubmed,gce,41719395,Science advances,2026-Feb-20,"Lysine acetoacetylation (Kacac) driven by metabolite acetoacetic acid represents a molecular mechanism by which ketone bodies regulate cellular functions beyond energy provision. However, comprehensive characterization of Kacac has been hindered by technical limitations in detection and functional validation. Here, we report an integrated platform for systematic Kacac investigation. Exploiting the unique reactive ketone carbonyl moiety, we developed Aca-Bio, a hydroxylamine-based probe enabling specific enrichment of Kacac peptides through ketone-targeted covalent labeling and pH-controlled reversible enrichment. Application to mouse liver identified 260 Kacac sites across 125 proteins, revealing notable enrichment in metabolic pathways. Concurrently, we established a genetic code expansion system enabling site-specific Kacac incorporation. Using this approach, we demonstrated that K310acac in HMGCS2 substantially attenuates catalytic activity through impaired substrate binding. This dual-platform approach establishes a comprehensive framework for global profiling and site-specific functional characterization of Kacac, thereby facilitating systematic exploration of its physiological roles and pathological implications.",,research_article,true,建立了遗传密码扩展系统实现乙酰乙酰赖氨酸（Kacac）的位点特异性整合，并用于功能验证，属于GCE介导的ncAA蛋白质整合，且包含ncAA应用的完整方案。,gce,multiple,yes,"lysine acetoacetylation, Kacac",2026-07-23 18:45:34,Journal Article,true,yes,研究论文
10.1002/anie.202520166,From Phenols to Proteins: One-Pot Biosynthesis and Genetic Encoding of Chalcogen-Containing Tyrosine Analogues.,pubmed,gce,41612933,Angewandte Chemie (International ed. in English),2026-Mar-02,"Expanding the genetic code with unnatural amino acids (UAAs) offers powerful opportunities to engineer proteins with novel redox and catalytic functions, but is often limited by the need for multistep UAA synthesis and inefficient cellular uptake. Here, we report an integrated biosynthetic-genetic incorporation strategy for chalcogen-containing proteins from the respective phenols. Structure-guided engineering of tyrosine phenol lyase (TPL) enabled the enzymatic production of 3-methoxy-, 3-methylthio-, and 3-methylseleno-L-tyrosine (MeSeY) directly in living cells. Using evolved orthogonal aminoacyl-tRNA synthetases, these analogues were site-specifically incorporated into green fluorescent protein (GFP), as confirmed by fluorescence assays, spectroscopy, and mass spectrometry. We further established a one-pot in vivo system that unifies analogue biosynthesis with translation, reducing precursor requirements and cellular toxicity. This work introduces selenium as a genetically encoded handle for protein engineering and establishes a scalable strategy that couples biocatalysis with genetic code expansion to access redox-active designer proteins. Importantly, installation of MeSeY at the GFP chromophore residue Tyr66 provides redox-responsive fluorescence. In a circularly permuted GFP (cpGFP) scaffold, improved chromophore accessibility enables reversible redox switching under H2O2/thiol cycling.",,research_article,true,通过工程化酪氨酸酚裂解酶（TPL）在细胞内一步生物合成含硫族元素的酪氨酸类似物，并实现遗传编码，包含明确的酶法合成通路。,enzymatic,enzymatic,yes,"3-methoxy-L-tyrosine, 3-methylthio-L-tyrosine, 3-methylseleno-L-tyrosine",2026-07-23 18:45:34,"Journal Article; Research Support, Non-U.S. Gov't",true,yes,研究论文
10.1021/acs.bioconjchem.5c00531,PermaPhosPeptide Technology: Recombinant Production of Permanently Phosphorylated Oligopeptides for 14-3-3 Protein Interactomic Studies.,pubmed,gce,41364617,Bioconjugate chemistry,2026-Jan-21,"Phosphorylation is a prevalent post-translational modification that controls many signaling pathways by regulating protein-protein interactions. Traditionally, these interactions are studied with chemically synthesized phosphopeptides, which are often expensive and prone to dephosphorylation, or in vitro kinase reactions, which often give incomplete or off-target phosphorylation. Here, using genetic code expansion with amber-codon-directed incorporation of a nonhydrolyzable phosphoserine analog (nhpS) that is autonomously produced in E. coli, we developed a technology to produce PermaPhosPeptides and validated its utility by obtaining functional 12-mer fragments of the SARS-CoV-2 nucleocapsid protein (N) from Wuhan and later coronavirus variants. PermaPhosPeptides are phosphatase-proof and accurately mimic authentic phosphopeptides in being recognized by pS/pT-binding 14-3-3 proteins, exhibiting an average KD difference at pH 7-8 with respect to the Wuhan phosphopeptide of only 9%, as measured by fluorescence polarization. At pH 5.5, KD for the 14-3-3 complex with PermaPhosPeptide increases by 68% compared with the phosphopeptide but remains in the low micromolar range despite the charge -1 of the nhpS-group, indicating that stereochemistry of the target group is a more critical driver for 14-3-3 recognition than its precise charge. Furthermore, PermaPhosPeptides revealed consistent effects of N mutations on binding affinities for the seven human 14-3-3 isoforms, indicating specificity and sensitivity of the interaction. Given the modular genetic encoding system used, PermaPhosPeptide technology is scalable and adaptable, in principle enabling production of almost any phosphopeptide in a permanently phosphorylated form for studies by low- and high-throughput methods.",,research_article,true,通过GCE在大肠杆菌中自主生产不可水解的磷酸丝氨酸类似物（nhpS），并用于PermaPhosPeptide技术，明确涉及ncAA的细胞内生物合成。,pathway,fermentation,yes,nonhydrolyzable phosphoserine analog,2026-07-23 18:45:34,"Journal Article; Research Support, Non-U.S. Gov't",true,yes,研究论文
