doi,title,source,nnaa_track,pmid,journal,pub_date,abstract,nnaa_compound,ai_article_type,ai_pass,ai_rationale_zh,ai_nnaa_category,ai_synthesis_method,ai_has_pathway_or_synthesis,ai_compound,fetched_at,publication_types,ai_domain_relevant,ai_has_experiment,lit_type_zh
10.7164/antibiotics.43.1,"FR109615, a new antifungal antibiotic from Streptomyces setonii. Taxonomy, fermentation, isolation, physico-chemical properties and biological activity.",pubmed,fermentation,2307620,The Journal of antibiotics,1990-Jan,"FR109615, a new antibiotic active against Candida, was isolated from Streptomyces setonii No. 7562. Based on the spectroscopic data, the structure of FR109615 was elucidated as cis-2-aminocyclopentane-1-carboxylic acid (1). The compound showed the excellent in vivo efficacy in a generalized infection test of mice.",,research_article,true,文章报告了从链霉菌发酵中分离得到新型抗真菌抗生素FR109615，其结构被鉴定为cis-2-氨基环戊烷-1-羧酸，属于非天然环状氨基酸，文章包含发酵生产工艺及结构鉴定内容。,fermentation,fermentation,yes,cis-2-aminocyclopentane-1-carboxylic acid,2026-07-23 18:45:34,Journal Article,true,yes,研究论文
10.1271/bbb.58.24,"Discovery of a Novel Enzyme, N-Acylamino Acid Racemase in an Actinomycete: Screening, Isolation, and Identification.",pubmed,fermentation,27315700,"Bioscience, biotechnology, and biochemistry",1994-Jan,"A novel enzyme, N-acylamino acid racemase (acylamino acid racemase) which catalyzes the interconversion of the enantiomers of N-acylamino acid, but does not act on amino acids, was found in an actinomycete strain Y-53 isolated from soil. A taxonomic study on the strain identified Y-53 as a strain of Streptomyces atratus. This strain also produced l- and d-aminoacylases simultaneously. Furthermore, another 13 strains of actinomycetes with the enzyme activity from the type culture collection of the Institute for Fermentation, Osaka (IFO) were observed.",,research_article,true,文章报道在放线菌中发现新型N-酰氨基酸消旋酶，该酶催化N-酰氨基酸对映体互转，与氨酰化酶联用可用于D-氨基酸（非天然氨基酸）的酶法制备，具有明确的酶催化转化内容。,enzymatic,enzymatic,yes,"N-acylamino acid, D-amino acids",2026-07-23 18:45:34,Journal Article,true,yes,研究论文
10.1016/s0168-1656(97)00142-9,"Cloning, sequencing and expression in E. coli of a D-amino acid oxidase cDNA from Rhodotorula gracilis active on cephalosporin C.",pubmed,fermentation,9383984,Journal of biotechnology,1997-Oct-17,"We have cloned the cDNA coding for the Rhodotorula gracilis D-amino acid oxidase (DAAO), an enzyme that performs with high catalytic efficiency biotechnologically relevant bioconversions, by PCR amplification. The first strand cDNA was synthesised from the total mRNA fraction isolated from R. gracilis cells grown under DAAO-inducing conditions. The R. gracilis DAAO cDNA consists of 1104 bp encoding a protein of 368 amino acids. The insertion of the cDNA into the pKK223-3 plasmid allowed the expression of recombinant DAAO in Escherichia coli as a wholly soluble and catalytically active holoenzyme (approximately 0.5 U mg-1 protein) with a fermentation yield, in terms of DAAO units, of 800 U l-1. This level of expression allowed the purification, in homogeneous form and high yield (50%), of the recombinant enzyme which showed a high catalytic activity on cephalosporin C as substrate. The nucleotide sequence reported in this paper will appear in the nucleotide sequence databases under accession number.",,research_article,true,文章克隆并在大肠杆菌中表达了来自Rhodotorula gracilis的D-氨基酸氧化酶（DAAO），该酶可高效催化头孢菌素C等D-氨基酸底物的生物转化，报告了发酵产酶工艺参数（800 U/L）及重组酶的催化活性，属于D-氨基酸酶法转化相关研究。,enzymatic,enzymatic,yes,"D-amino acids, cephalosporin C",2026-07-23 18:45:34,Journal Article,true,yes,研究论文
10.1111/j.1749-6632.1996.tb33232.x,Cloning and overexpression of thermostable D-hydantoinase from thermophile in E. coli and its application to the synthesis of optically active D-amino acids.,pubmed,fermentation,8958103,Annals of the New York Academy of Sciences,1996-Oct-12,"We cloned the thermostable D-hydantoinase gene from B. stearothermophilus SD-1 into E. coli. The cloned gene was constitutively expressed by its own promoter, and the enzyme was produced in its soluble form. The specific activity of the recombinant E. coli was 30 times higher than that of B. stearothermophilus SD-1. The cultivation conditions were investigated for the overproduction of the enzyme, and the temperature was found to affect the plasmid content and the expression level of the enzyme. Recombinant E. coli was cultivated in 30-L batch fermentation, the cell concentration reached 25 g-DCW/L, and the specific activity was about 20,000 units/g-DCW. D-Hydantoinase produced from the recombinant E. coli could be successfully applied to the synthesis of N-carbamoyl-D-amino acid from the 5-monosubstituted hydantoin derivative.",,research_article,true,文章克隆并在大肠杆菌中过表达嗜热菌来源的热稳定D-乙内酰脲酶，通过30L批次发酵实现高密度培养，并将该酶应用于5-单取代乙内酰脲衍生物合成N-氨甲酰基-D-氨基酸，明确报告了D-氨基酸的酶法/发酵制备工艺。,fermentation,fermentation,yes,"N-carbamoyl-D-amino acids, D-amino acids",2026-07-23 18:45:34,Journal Article,true,yes,研究论文
10.1271/bbb.60.898,Bestatin analogue from Streptomyces neyagawaensis SL-387.,pubmed,fermentation,8704320,"Bioscience, biotechnology, and biochemistry",1996-May,"A bestatin analogue, (2S,3R)-3-amino-2-hydroxy-4-phenylbutanoyl-L-valine (AHPA-Val), from the culture filtrate of Streptomyces neyagawaensis SL-387 was obtained in a chemically defined medium containing DL-3-amino-3-phenylpropionic acid. AHPA-Val was 6 times (IC50 = 1.2 micrograms/ml) as strong as bestatin (IC50 = 7.0 micrograms/ml) against porcine kidney microsomal aminopeptidase N, and 4 times (5.6 micrograms/ml) as strong as bestatin (IC50 = 20.7 micrograms/ml) against aminopeptidase N of human metastatic fibrosarcoma HT1080. To the best of our knowledge, this is the first report on the microbial production of AHPA-Val.",,research_article,true,"报道了Streptomyces neyagawaensis SL-387微生物发酵生产bestatin类似物AHPA-Val（含非天然氨基酸片段(2S,3R)-3-amino-2-hydroxy-4-phenylbutanoyl），并描述了培养条件和产物活性，属于NNAA微生物生产的首次报道。",fermentation,fermentation,yes,"(2S,3R)-3-amino-2-hydroxy-4-phenylbutanoyl-L-valine, AHPA-Val",2026-07-23 18:45:34,"Journal Article; Research Support, Non-U.S. Gov't",true,yes,研究论文
10.1007/3-540-44964-7_3,Microbial production of amino acids in Japan.,pubmed,fermentation,11036691,Advances in biochemical engineering/biotechnology,2000,"The microbial biotechnology of amino acids production which was developed and industrialized in Japan have been summarized. The amino acids include L-glutamic acid, L-lysine, L-threonine, L-aspartic acid, L-alanine, L-cysteine, L-dihydroxyphenylalanine, D-p-hydroxyphenyl-glycine, and hydroxy-L-proline.",,review,true,"文章综述日本微生物生产氨基酸的技术，明确涵盖L-DOPA（3,4-二羟基苯丙氨酸）、D-对羟基苯甘氨酸（D-p-hydroxyphenylglycine）和羟基-L-脯氨酸（hydroxy-L-proline）等NNAA的发酵/生物合成生产工艺，属于NNAA发酵生产综述。",fermentation,fermentation,yes,"L-DOPA, D-p-hydroxyphenylglycine, hydroxy-L-proline",2026-07-23 18:45:34,Journal Article; Review,true,no,综述
10.1038/9902,Conversion of Lactococcus lactis from homolactic to homoalanine fermentation through metabolic engineering.,pubmed,fermentation,10385325,Nature biotechnology,1999-Jun,"We report the engineering of Lactococcus lactis to produce the amino acid L-alanine. The primary end product of sugar metabolism in wild-type L. lactis is lactate (homolactic fermentation). The terminal enzymatic reaction (pyruvate + NADH-->L-lactate + NAD+) is performed by L-lactate dehydrogenase (L-LDH). We rerouted the carbon flux toward alanine by expressing the Bacillus sphaericus alanine dehydrogenase (L-AlaDH; pyruvate + NADH + NH4+ -->L-alanine + NAD+ + H2O). Expression of L-AlaDH in an L-LDH-deficient strain permitted production of alanine as the sole end product (homoalanine fermentation). Finally, stereospecific production (>99%) of L-alanine was achieved by disrupting the gene encoding alanine racemase, opening the door to the industrial production of this stereoisomer in food products or bioreactors.",,research_article,true,通过代谢工程将乳酸乳球菌改造为生产L-丙氨酸的菌株，报告了完整的代谢通路重构方案（表达丙氨酸脱氢酶、敲除乳酸脱氢酶和丙氨酸消旋酶），实现了>99%立体选择性的L-丙氨酸发酵生产。,fermentation,fermentation,yes,L-alanine,2026-07-23 18:45:34,"Journal Article; Research Support, Non-U.S. Gov't",true,yes,研究论文
10.1271/bbb.68.1888,Purification and characterization of glutamine synthetase of Pseudomonas taetrolens Y-30: an enzyme usable for production of theanine by coupling with the alcoholic fermentation system of baker's yeast.,pubmed,fermentation,15388964,"Bioscience, biotechnology, and biochemistry",2004-Sep,"Concentrated cell-extract of Pseudomonas taetrolens Y-30, isolated as a methylamine-assimilating organism, formed gamma-glutamylethylamide (theanine) from glutamic acid and ethylamine in a mixture containing the alcoholic fermentation system of baker's yeast for ATP-regeneration. Glutamine synthetase (GS), probably responsible for theanine formation, was isolated from the extract of the organism grown on a medium containing 1% methylamine, 1% glycerol, 0.5% yeast extract, and 0.2% polypepton as carbon and nitrogen sources. The molecular mass was estimated to be 660 kDa by gel filtration and 55 kDa by SDS-polyacrylamide gel electrophoresis, suggesting that Ps. taetrolens Y-30 GS consists of 12 identical subunits. The enzyme required Mg2+ or Mn2+ for its activity. Under the standard reaction condition for glutamine formation (pH 8.0 with 30 mM Mg2+), GS showed 7% and 1% reactivity toward methylamine and ethylamine respectively of that to ammonia. Reactivity to the alkylamines varied with optimum pH of the reaction in response to divalent cation in the mixture: pH 11.0 was the optimum for the Mg2+ -dependent reaction with ethylamine, and pH 8.5 was the optimum for the Mn2+ -dependent reaction. In a mixture of an optimum reaction condition with 1000 mM ethylamine (at pH 8.5 with 3 mM Mn2+), reactivity increased up to 7% of the reactivity to ammonia in the standard reaction condition. The isolated GS formed theanine in the mixture with the yeast fermentation system.",,research_article,true,文章报告了从假单胞菌中纯化谷氨酰胺合成酶，并利用该酶与酵母酒精发酵系统耦合（ATP再生）催化谷氨酸与乙胺合成茶氨酸（γ-谷氨酰乙酰胺），茶氨酸为非天然氨基酸，文章明确描述了酶法制备工艺和反应条件。,enzymatic,enzymatic,yes,theanine,2026-07-23 18:45:34,Journal Article,true,yes,研究论文
10.1074/jbc.m702814200,"Chain initiation in the leinamycin-producing hybrid nonribosomal peptide/polyketide synthetase from Streptomyces atroolivaceus S-140. Discrete, monofunctional adenylation enzyme and peptidyl carrier protein that directly load D-alanine.",pubmed,fermentation,17502372,The Journal of biological chemistry,2007-Jul-13,"Nonribosomal peptide natural products are biosynthesized from amino acid precursors by nonribosomal peptide synthetases (NRPSs), which are organized into modules. For a typical NRPS initiation module, an adenylation (A) domain activates an amino acid and installs it onto a peptidyl carrier protein (PCP) domain as a thioester; an elongation module, which has a condensation (C) domain located between every consecutive pair of A and PCP domains, catalyzes the formation of the peptide bond between the upstream aminoacyl/peptidyl-S-PCP and the free amino group of the downstream aminoacyl-S-PCP. D-amino acid constituents in peptide natural products usually arise from the L-enantiomers through the action of integral epimerization (E) domains of an NRPS. The biosynthetic gene cluster for leinamycin, a hybrid nonribosomal peptide/polyketide containing a D-alanine moiety, does not encode a typical NRPS initiation module with the expected A-PCP-E domains; instead, it has only an A protein (LnmQ) and a PCP (LnmP), both of which are encoded by separate genes. Here we show the results of biochemical experiments as follows: (i) we demonstrate that LnmQ directly activates D-alanine as D-alaninyl-AMP and installs it onto LnmP to generate a D-alaninyl-S-PCP intermediate; (ii) we confirm that aminoacylation of LnmP by LnmQ in trans is the result of specific communication between the separate A and PCP proteins; and (iii) we reveal that leinamycin production can be improved by supplementation of exogenous D-alanine in the fermentation broth of Streptomyces atroolivaceous S-140. These findings unveil an unprecedented NRPS initiation module structure that is characterized by a discrete D-alanine-specific A protein and a PCP.",,research_article,true,文章研究了雷那霉素生物合成基因簇中离散型腺苷化酶LnmQ直接激活D-丙氨酸并将其装载到肽载体蛋白LnmP的机制，明确报告了D-氨基酸在NRPS起始模块中的生物合成通路，并通过补充外源D-丙氨酸提高了发酵产量，属于NNAA（D-丙氨酸）生物合成通路研究。,pathway,fermentation,yes,D-alanine,2026-07-23 18:45:34,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",true,yes,研究论文
10.1038/ja.2007.20,"SPF-5506-A4, a new peptaibol inhibitor of amyloid beta-peptide formation produced by Trichoderma sp.",pubmed,fermentation,17446690,The Journal of antibiotics,2007-Mar,"A new peptaibol compound, SPF-5506-A4, was isolated from the fermentation broth of Trichoderma sp. SPF-5506. The chemical structure of the 14-residue peptide was determined by MS, NMR and amino acid sequence analyses. The absolute configuration of amino acid residues in the acid hydrolysate was determined by Marfey's method. The structure of SPF-5506-A4 was established as Ac-Aib-L-Asn-L-Ile-Aib-L-Pro-L-Ser-L-Ile-Aib-L-Pro-L-Leu-L-Leu-Aib-L-Pro-L-leucinol. The compound inhibited amyloid beta-peptide formation in primary guinea pig cerebral cortex neuron cell culture dose-dependently with an IC50 of 0.1 microg/ml. Cytotoxicity was not observed at concentrations of <3 microg/ml.",,research_article,true,文章鉴定新型peptaibol SPF-5506-A4，含多个Aib（α-aminoisobutyric acid）残基，并通过Marfey法确定其绝对构型，Aib在肽合成语境中属于典型NNAA。,chemical,chemical,yes,Aib,2026-07-23 18:45:34,Journal Article,true,yes,研究论文
